"ano","nasc","obtos","pb.sobrev"
"2000",94746,108,0.9988601
"2001",92979,125,0.9986556
"2002",93897,137,0.998541
"2003",92081,119,0.9987077
"2004",91231,138,0.9984874
"2005",91556,111,0.9987876
"2006",87483,97,0.9988912
"2007",85159,117,0.9986261
"2008",87462,75,0.9991425
"2009",87485,72,0.999177
"2010",87476,93,0.9989369
"2011",89742,71,0.9992088
"2012",93274,71,0.9992388
"2013",94822,85,0.9991036
"2014",99798,78,0.9992184
"2015",100672,88,0.9991259
"2016",95563,95,0.9990059
"2017",97520,81,0.9991694
"2018",98872,96,0.999029
"2019",96112,89,0.999074
"2020",92768,62,0.9993317
